Item Name,Vendor Item Code,Packaging Information,Unit of Measure,Unit/Box,Item Color,Item Size,PCs in a Box,SF by PC/SHEET,SF By Box,Cost,Group,Finish
Acacia Valley Floor Tile Plank Matte,6361P6,12.78 SF/BOX,SQUARE FOOT,,AV05 Ash,6X36,,,12.78,5.70,ACACIA VALLEY,MATTE
Acacia Valley Floor Tile Plank Matte,6361P6,12.78 SF/BOX,SQUARE FOOT,,AV06 Ark,6X36,,,12.78,5.70,ACACIA VALLEY,MATTE
Acacia Valley Floor Tile Plank Matte,6361P6,12.78 SF/BOX,SQUARE FOOT,,AV08 Ridge,6X36,,,12.78,5.70,ACACIA VALLEY,MATTE
Acacia Valley Floor Tile Plank Matte,9361P6,13.02 SF/BOX,SQUARE FOOT,,AV13 Ash,9X36,,,13.02,5.72,ACACIA VALLEY,MATTE
Acacia Valley Floor Tile Plank Matte,9361P6,13.02 SF/BOX,SQUARE FOOT,,AV14 Ark,9X36,,,13.02,5.72,ACACIA VALLEY,MATTE
ACREAGE Floor Tile Plank Matte,PLK848MT,15.18 SF/BOX,SQUARE FOOT,,AC11 Palomino,8X48,,,15.18,2.93,ACREAGE,MATTE
ACREAGE Floor Tile Plank Matte,PLK848MT,15.18 SF/BOX,SQUARE FOOT,,AC12 Reserve,8X48,,,15.18,2.93,ACREAGE,MATTE
ACREAGE Floor Tile Plank Matte,PLK848MT,15.18 SF/BOX,SQUARE FOOT,,AC13 Stetson,8X48,,,15.18,2.93,ACREAGE,MATTE
ACREAGE Floor Tile Plank Matte,PLK848MT,15.18 SF/BOX,SQUARE FOOT,,AC14 Highland,8X48,,,15.18,2.93,ACREAGE,MATTE
ACREAGE Mosaic Tile Stacked Matte,STK124MSMT,7.56 SF/BOX,SQUARE FOOT,,AC11 Palomino,1X24,,,7.56,11.13,ACREAGE,MATTE
AESTHETIC Wall Tile Rectangle Arrow Satin,12361P,17.44 SF/BOX,SQUARE FOOT,,AS25 Arrow,12X36,,,17.44,5.54,AESTHETIC,SATIN
AESTHETIC Wall Tile Rectangle Frequency Satin,12361P,17.44 SF/BOX,SQUARE FOOT,,AS22 Frequency,12X36,,,17.44,5.54,AESTHETIC,SATIN
AESTHETIC Wall Tile Rectangle Geometric Satin,12361P,17.44 SF/BOX,SQUARE FOOT,,AS23 Geometric,12X36,,,17.44,5.54,AESTHETIC,SATIN
AESTHETIC Wall Tile Rectangle Glossy,12361P,17.44 SF/BOX,SQUARE FOOT,,AS21 Flat Glossy,12X36,,,17.44,5.54,AESTHETIC,GLOSSY
AESTHETIC Wall Tile Rectangle Honeycomb Satin,12361P,17.44 SF/BOX,SQUARE FOOT,,AS27 Honeycomb,12X36,,,17.44,5.54,AESTHETIC,SATIN
AESTHETIC Wall Tile Rectangle Retrocube Satin,12361P,17.44 SF/BOX,SQUARE FOOT,,AS26 Retrocube,12X36,,,17.44,5.54,AESTHETIC,SATIN
AESTHETIC Wall Tile Rectangle Tribal Satin,12361P,17.44 SF/BOX,SQUARE FOOT,,AS24 Tribal,12X36,,,17.44,5.54,AESTHETIC,SATIN
AFFINITY Floor Tile Square Matte,SQ1212MTJJ1,16.72 SF/BOX,SQUARE FOOT,,AF01 Cream,12X12,,,16.72,1.80,AFFINITY,MATTE
AFFINITY Floor Tile Rectangle Matte,RCT1224MTJ1,17.60 SF/BOX,SQUARE FOOT,,AF02 Beige,12X24,,,17.60,2.27,AFFINITY,MATTE
AFFINITY Floor Tile Rectangle Matte,RCT1224MTJ1,17.60 SF/BOX,SQUARE FOOT,,AF03 Gray,12X24,,,17.60,2.27,AFFINITY,MATTE
AFFINITY Floor Tile Trim Bullnose Matte,P43C91P1,30.00 PC/BOX,PIECE,,AF01 Cream,3X12,30,,,4.07,AFFINITY,MATTE
AFFINITY Floor Tile Trim Bullnose Matte,P43C91P1,30.00 PC/BOX,PIECE,,AF02 Beige,3X12,30,,,4.07,AFFINITY,MATTE
AFFINITY Floor Tile Trim Bullnose Matte,P43C91P1,30.00 PC/BOX,PIECE,,AF03 Gray,3X12,30,,,4.07,AFFINITY,MATTE
